ORIGIN,STATE,CITY,LOCAL,IATA,IDENT,NAME
USA,NC,Concord,JQF,USA,KJQF,Concord-Padgett Regional Airport
CLE,OH,Cleveland,CLE,CLE,KCLE,Cleveland Hopkins International Airport
PDX,OR,Portland,PDX,PDX,KPDX,Portland International Airport
ACK,MA,Nantucket,ACK,ACK,KACK,Nantucket Memorial Airport
MIA,FL,Miami,MIA,MIA,KMIA,Miami International Airport
TWF,ID,Twin Falls,TWF,TWF,KTWF,Joslin Field Magic Valley Regional Airport
MFR,OR,Medford,MFR,MFR,KMFR,Rogue Valley International Medford Airport
ILG,DE,Wilmington,ILG,ILG,KILG,New Castle Airport
BWI,MD,Baltimore,BWI,BWI,KBWI,Baltimore/Washington International Thurgood Marshall Airport
TPA,FL,Tampa,TPA,TPA,KTPA,Tampa International Airport
BKG,MO,Branson,BBG,BKG,KBBG,Branson Airport
CMX,MI,Hancock,CMX,CMX,KCMX,Houghton County Memorial Airport
APN,MI,Alpena,APN,APN,KAPN,Alpena County Regional Airport
PRC,AZ,Prescott,PRC,PRC,KPRC,Prescott International Airport - Ernest A. Love Field
OKC,OK,Oklahoma City,OKC,OKC,KOKC,Will Rogers World Airport
ROA,VA,Roanoke,ROA,ROA,KROA,Roanoke–Blacksburg Regional Airport
SMF,CA,Sacramento,SMF,SMF,KSMF,Sacramento International Airport
SPI,IL,Springfield,SPI,SPI,KSPI,Abraham Lincoln Capital Airport
OTH,OR,North Bend,OTH,OTH,KOTH,Southwest Oregon Regional Airport
BRW,AK,Utqiaġvik,BRW,BRW,PABR,Wiley Post Will Rogers Memorial Airport
SFB,FL,Orlando,SFB,SFB,KSFB,Orlando Sanford International Airport
ABI,TX,Abilene,ABI,ABI,KABI,Abilene Regional Airport
BFF,NE,Scottsbluff,BFF,BFF,KBFF,Western Neb. Rgnl/William B. Heilig Airport
OXR,CA,Oxnard,OXR,OXR,KOXR,Oxnard Airport
ELM,NY,Elmira/Corning,ELM,ELM,KELM,Elmira Corning Regional Airport
MBS,MI,Saginaw,MBS,MBS,KMBS,MBS International Airport
PHX,AZ,Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport
FCA,MT,Kalispell,GPI,FCA,KGPI,Glacier Park International Airport
ABR,SD,Aberdeen,ABR,ABR,KABR,Aberdeen Regional Airport
DVL,ND,Devils Lake,DVL,DVL,KDVL,Devils Lake Regional Airport
STL,MO,St Louis,STL,STL,KSTL,St Louis Lambert International Airport
PWM,ME,Portland,PWM,PWM,KPWM,Portland International Jetport
ABY,GA,Albany,ABY,ABY,KABY,Southwest Georgia Regional Airport
BET,AK,Bethel,BET,BET,PABE,Bethel Airport
DFW,TX,Dallas-Fort Worth,DFW,DFW,KDFW,Dallas Fort Worth International Airport
MHT,NH,Manchester,MHT,MHT,KMHT,Manchester-Boston Regional Airport
ABE,PA,Allentown,ABE,ABE,KABE,Lehigh Valley International Airport
TXK,AR,Texarkana,TXK,TXK,KTXK,Texarkana Regional Webb Field
GSP,SC,Greer,GSP,GSP,KGSP,Greenville Spartanburg International Airport
MMH,CA,Mammoth Lakes,MMH,MMH,KMMH,Mammoth Yosemite Airport
LSE,WI,La Crosse,LSE,LSE,KLSE,La Crosse Regional Airport
FAY,NC,Fayetteville,FAY,FAY,KFAY,Fayetteville Regional Airport - Grannis Field
STX,,,,,,
HDN,CO,Hayden,HDN,HDN,KHDN,Yampa Valley Airport
EFD,TX,Houston,EFD,EFD,KEFD,Ellington Airport
GUC,CO,Gunnison,GUC,GUC,KGUC,Gunnison Crested Butte Regional Airport
LMT,OR,Klamath Falls,LMT,LMT,KLMT,Crater Lake-Klamath Regional Airport
LBB,TX,Lubbock,LBB,LBB,KLBB,Lubbock Preston Smith International Airport
EKO,NV,Elko,EKO,EKO,KEKO,Elko Regional Airport
CRP,TX,Corpus Christi,CRP,CRP,KCRP,Corpus Christi International Airport
EGE,CO,Eagle,EGE,EGE,KEGE,Eagle County Regional Airport
HVN,CT,New Haven,HVN,HVN,KHVN,Tweed New Haven Airport
FSD,SD,Sioux Falls,FSD,FSD,KFSD,Sioux Falls Regional Airport / Joe Foss Field
SWF,NY,Newburgh,SWF,SWF,KSWF,New York Stewart International Airport
