ABE,Lehigh Valley International Airport
TYS,McGhee Tyson Airport
UIN,Quincy Regional Baldwin Field
USA,Concord-Padgett Regional Airport
UST,Northeast Florida Regional Airport
UTM,Tunica Municipal Airport
VEL,Vernal Regional Airport
VLD,Valdosta Regional Airport
VPS,Destin-Ft Walton Beach Airport
WRG,Wrangell Airport
WYS,Yellowstone Airport
XNA,Northwest Arkansas Regional Airport
YAK,Yakutat Airport
YNG,Youngstown Warren Regional Airport
YUM,Yuma MCAS/Yuma International Airport
